Symbol,Previous_Close,Current_Price,Gap_Percentage,Gap_Type,Fill_Probability_%,Gap_Fill_Target,Stop_Loss,Avg_Fill_Time_Days,Fill_Rate_%,Total_Gaps_Analyzed,Signal
COALINDIA.NS,379.55,378.15,-0.37,Minor,95.0,379.55,385.71,0.5,92.4,172,Long (Gap Fill Expected)
TATASTEEL.NS,161.92,161.51,-0.25,Minor,95.0,161.92,164.74,0.7,87.2,180,Ignore
TECHM.NS,1524.1,1521.3,-0.18,Minor,95.0,1524.1,1551.73,0.6,89.2,176,Ignore
HCLTECH.NS,1496.0,1493.5,-0.17,Minor,95.0,1496.0,1523.37,0.8,87.6,153,Ignore
HDFCBANK.NS,1988.2,1991.2,0.15,Minor,85.5,1988.2,1951.38,0.8,82.9,152,Ignore
ONGC.NS,237.93,238.29,0.15,Minor,85.5,237.93,233.52,0.7,88.9,190,Ignore
HDFCLIFE.NS,796.55,795.45,-0.14,Minor,95.0,796.55,811.36,0.4,93.3,163,Ignore
ASIANPAINT.NS,2570.1,2566.6,-0.14,Minor,95.0,2570.1,2617.93,0.3,89.4,160,Ignore
TCS.NS,3098.6,3102.6,0.13,Minor,85.5,3098.6,3040.55,0.6,86.9,137,Ignore
AXISBANK.NS,1080.2,1078.9,-0.12,Minor,95.0,1080.2,1100.48,0.5,90.2,153,Ignore
ITC.NS,406.05,405.55,-0.12,Minor,95.0,406.05,413.66,0.6,96.4,138,Ignore
BHARTIARTL.NS,1928.4,1929.9,0.08,Minor,85.5,1928.4,1891.3,0.7,86.5,156,Ignore
ULTRACEMCO.NS,12874.0,12870.0,-0.03,Minor,95.0,12874.0,13127.4,0.5,90.2,163,Ignore
INFY.NS,1496.2,1496.4,0.01,Minor,85.5,1496.2,1466.47,1.1,81.4,161,Ignore
KOTAKBANK.NS,2017.5,2017.8,0.01,Minor,85.5,2017.5,1977.44,0.7,89.5,162,Ignore
TRENT.NS,5453.0,5452.5,-0.01,Minor,95.0,5453.0,5561.55,0.4,93.2,191,Ignore
BPCL.NS,319.95,319.95,0.0,Minor,95.0,319.95,326.35,0.4,92.0,187,Ignore
